GSTIN,Date,Invoice_Value,ITC_Claimed,Refund_Claimed,Is_Fraud_Label,Entity_Type
27ABCDE0000F1Z9,2025-01-09,224674.95,31666.61,0.0,0,normal
27ABCDE0000F1Z9,2025-01-12,221190.77,27475.69,0.0,0,normal
27ABCDE0000F1Z9,2025-01-14,252686.06,28168.42,0.0,0,normal
27ABCDE0000F1Z9,2025-01-16,201995.6,25111.99,0.0,0,normal
27ABCDE0000F1Z9,2025-01-19,245103.13,27392.7,0.0,0,normal
27ABCDE0000F1Z9,2025-01-22,231726.95,26973.98,0.0,0,normal
27ABCDE0000F1Z9,2025-01-25,212871.87,21233.11,0.0,0,normal
27ABCDE0000F1Z9,2025-01-29,206045.05,23558.33,0.0,0,normal
27ABCDE0000F1Z9,2025-01-30,198569.12,21962.26,0.0,0,normal
27ABCDE0000F1Z9,2025-01-31,200046.88,22424.92,0.0,0,normal
27ABCDE0000F1Z9,2025-02-03,269900.51,24291.91,0.0,0,normal
27ABCDE0000F1Z9,2025-02-05,263323.05,31780.46,0.0,0,normal
27ABCDE0000F1Z9,2025-02-07,218760.04,23758.51,0.0,0,normal
27ABCDE0000F1Z9,2025-02-09,215347.77,17330.04,0.0,0,normal
27ABCDE0000F1Z9,2025-02-13,246676.23,31174.33,0.0,0,normal
27ABCDE0000F1Z9,2025-02-22,239725.85,23963.4,0.0,0,normal
27ABCDE0000F1Z9,2025-02-24,195569.47,16969.87,0.0,0,normal
27ABCDE0000F1Z9,2025-02-26,238323.63,23112.03,0.0,0,normal
27ABCDE0000F1Z9,2025-03-01,281807.7,31442.31,0.0,0,normal
27ABCDE0000F1Z9,2025-03-04,254212.21,14911.42,0.0,0,normal
27ABCDE0000F1Z9,2025-03-05,206035.76,26737.35,0.0,0,normal
27ABCDE0000F1Z9,2025-03-06,237342.89,28019.75,0.0,0,normal
27ABCDE0000F1Z9,2025-03-11,211547.75,26083.21,0.0,0,normal
27ABCDE0000F1Z9,2025-03-14,226810.41,21525.45,0.0,0,normal
27ABCDE0000F1Z9,2025-03-17,204185.74,26488.17,0.0,0,normal
27ABCDE0000F1Z9,2025-03-19,267862.53,26845.78,0.0,0,normal
27ABCDE0000F1Z9,2025-03-24,231556.15,26212.04,0.0,0,normal
27ABCDE0000F1Z9,2025-03-28,257934.32,29993.12,0.0,0,normal
27ABCDE0000F1Z9,2025-04-03,263399.82,35575.11,0.0,0,normal
27ABCDE0000F1Z9,2025-04-04,285293.44,36834.0,0.0,0,normal
27ABCDE0000F1Z9,2025-04-09,211083.22,27771.88,0.0,0,normal
27ABCDE0000F1Z9,2025-04-15,218767.07,22050.59,0.0,0,normal
27ABCDE0000F1Z9,2025-04-17,212925.32,28405.09,0.0,0,normal
27ABCDE0000F1Z9,2025-04-19,229874.82,25693.92,0.0,0,normal
27ABCDE0000F1Z9,2025-04-22,216433.65,23492.02,0.0,0,normal
27ABCDE0000F1Z9,2025-04-23,238275.71,28348.01,0.0,0,normal
27ABCDE0000F1Z9,2025-04-28,165288.21,20365.72,0.0,0,normal
27ABCDE0000F1Z9,2025-04-29,247107.26,26114.24,0.0,0,normal
27ABCDE0000F1Z9,2025-05-02,266495.27,32912.6,0.0,0,normal
27ABCDE0000F1Z9,2025-05-05,227118.87,21377.13,0.0,0,normal
27ABCDE0000F1Z9,2025-05-15,251363.95,30060.32,0.0,0,normal
27ABCDE0000F1Z9,2025-05-17,224765.38,24971.26,0.0,0,normal
